Symbol,Security Name,Close,52 Weeks High,52 Weeks Low,%Dividend Yield,P/E,%Volume Turnover
ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,289,309,204,3.670000076,23.1,0.100000001
AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,31.75,65,31.25,2.49000001,23.58,0.180000007
AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,1.93,3.98,1.87,3.890000105,9.94,0.109999999
BANPU,BANPU PUBLIC COMPANY LIMITED,4.44,7.5,4,6.760000229,0,0.159999996
BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,140,161.5,129,6.070000172,5.65,0.219999999
BDMS,BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED,21,31.25,21,3.569999933,20.52,0.159999996
BEM,BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED,5.15,8.3,5,2.910000086,20.34,0.409999996
BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,10.7,24.8,8.9,4.019999981,15.22,0.540000021
BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,137.5,284,135,3.640000105,14.54,0.419999987
BJC,BERLI JUCKER PUBLIC COMPANY LIMITED,20.3,25.75,19.2,3.5,17.44,0.029999999
BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,4.48,6.4,3.72,0,34.06,0.310000002
CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,57.25,82,55.25,2.269999981,19.24,0.090000004
CCET,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.",5.1,11,3.1,3.920000076,20.09,0.419999987
COM7,COM7 PUBLIC COMPANY LIMITED,19.1,28.25,16.4,4.5,12.98,0.079999998
CPALL,CP ALL PUBLIC COMPANY LIMITED,47.25,68,46.25,2.869999886,15.9,0.239999995
CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,26,26.5,19.8,3.849999905,7.95,0.170000002
CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,45.75,68.75,44.25,4.590000153,12.22,0.230000004
CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,18.9,36,17.4,3.170000076,13.73,0.200000003
DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,99.5,173.5,51.25,0.460000008,61.69,0.129999995
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,107.5,128.5,85,6.050000191,7.73,0.079999998
GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,5,16.2747,5,3.549999952,11.88,0.200000003
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,33,49.75,22.4,2.730000019,21.45,0.100000001
GULF,GULF DEVELOPMENT PUBLIC COMPANY LIMITED,43.75,51.25,38.5,0,27.58,0.140000001
HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,7.65,11.1,7.5,5.670000076,15.34,0.079999998
ITC,i-Tail Corporation Public Company Limited,11.6,26,11,9.909999847,10.08,0.280000001
IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,19.8,27.5,16,3.539999962,0,0.239999995
KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,155,167.5,121.5,7.739999771,7.51,0.239999995
KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED,22.1,24.7,16.7,6.989999771,6.95,0.25
KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,37.5,52.25,35.5,3.519999981,12.9,0.129999995
LH,LAND AND HOUSES PUBLIC COMPANY LIMITED,3.88,6.5,3.86,8.25,9.1,0.090000004
MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,24.8,31.5,22.9,2.420000076,20.03,0.109999999
MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,40.25,54,35.25,0.620000005,14.11,0.129999995
OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,12.1,17.8,10.1,3.309999943,17.48,0.059999999
OSP,OSOTSPA PUBLIC COMPANY LIMITED,15.8,25,12.9,3.799999952,22.88,0.109999999
PTT,PTT PUBLIC COMPANY LIMITED,30,35,27,7.039999962,10.09,0.079999998
PTTEP,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED,98.5,154.5,93,9.770000458,5.1,0.170000002
PTTGC,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,19.4,33,14.2,2.579999924,0,0.449999988
RATCH,RATCH GROUP PUBLIC COMPANY LIMITED,25.25,34.25,22.5,6.340000153,9.45,0.100000001
SAWAD,SRISAWAD CORPORATION PUBLIC COMPANY LIMITED,18.6,41.36405,17.7,0.200000003,6.32,1.299999952
SCB,SCB X PUBLIC COMPANY LIMITED,117,128,100,8.920000076,8.72,0.050000001
SCC,THE SIAM CEMENT PUBLIC COMPANY LIMITED,158.5,255,124.5,3.150000095,37.92,0.310000002
SCGP,SCG PACKAGING PUBLIC COMPANY LIMITED,16,34.5,10.7,3.440000057,23.9,0.25
TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,97.5,101,90,7.949999809,11.46,0.150000006
TLI,THAI LIFE INSURANCE PUBLIC COMPANY LIMITED,10.4,12.7,6.55,4.809999943,10.6,0.050000001
TOP,THAI OIL PUBLIC COMPANY LIMITED,28,56.25,21,6.789999962,8.23,0.699999988
TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,12.3,13.3,8.25,0,0,0.150000006
TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,1.94,2.06,1.59,6.809999943,8.92,0.159999996
TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,10.1,15.8,9.45,6.929999828,8.21,0.289999992
VGI,VGI PUBLIC COMPANY LIMITED,1.89,3.68,1.2,0.689999998,75.41,0.600000024
WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,3.1,6.2,2.26,6.150000095,9.14,0.550000012